Title,Author,Year Published,Average GoodReads Rating,Number of Pages
Working with Emotional Intelligence,Daniel Goleman,2000,3.82,400
Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,2006,4.06,352
Dreyer's English: An Utterly Correct Guide to Clarity and Style,Benjamin Dreyer,2019,4.34,269
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Mark Wolynn,2016,3.55,256
What Unites Us: Reflections on Patriotism,Dan Rather,2017,4.31,288
"How to Raise a Feminist Son: Motherhood, Masculinity, and the Making of My Family",Sonora Jha,2021,4.31,288
"From Strength to Strength: Finding Success, Happiness, and Deep Purpose in the Second Half of Life",Arthur C. Brooks,2022,3.94,270
Change Sings: a Children's Anthem,Amanda Gorman,2021,4.55,32
The Light We Carry: Overcoming in Uncertain Times,Michelle Obama,2022,4.27,319
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,2021,4.54,29
High Conflict: Why We Get Trapped and How We Get Out,Amanda Ripley,2021,4.26,368
Diet for a Small Planet,Frances Moore Lappé,2021,3.97,512
The Invisible Kingdom: Reimagining Chronic Illness,Meghan O'Rourke,2022,4.02,324
"Banned Books: The World's Most Controversial Books, Past and Present",D.K. Publishing,2022,3.83,192
What We Owe the Future,William MacAskill,2022,3.81,335
"Friends, Lovers, and the Big Terrible Thing",Matthew  Perry,2022,3.94,250
Say What You Mean: A Mindful Approach to Nonviolent Communication,Oren Jay Sofer,2018,4.14,304
Are We Smart Enough to Know How Smart Animals Are?,Frans de Waal,2017,3.97,275
Washington: A Life,Ron Chernow,2010,4.17,904
Deaths of Despair and the Future of Capitalism,Anne Case,2020,3.8,288
Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,2009,4.46,338
Bring the War Home: The White Power Movement and Paramilitary America,Kathleen Belew,2018,4.21,352
"Member of the Family: My Story of Charles Manson, Life Inside His Cult, and the Darkness That Ended the Sixties",Dianne Lake,2017,4.19,400
"Hype: How Scammers, Grifters, and Con Artists Are Taking Over the Internet—and Why We're Following",Gabrielle Bluestone,2021,3.32,352
How to Invent Everything: A Survival Guide for the Stranded Time Traveler,Ryan North,2018,4.14,437
First Principles: What America's Founders Learned from the Greeks and Romans and How That Shaped Our Country,Thomas E. Ricks,2020,4.06,416
Infinite Powers: How Calculus Reveals the Secrets of the Universe,Steven H. Strogatz,2019,4.29,360
The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,Gregory Zuckerman,2019,4.05,359
Notes on a Silencing: A Memoir,Lacy Crawford,2020,4.24,400
The Jungle,Upton Sinclair,2003,3.78,335
Pelosi,Molly  Ball,2020,4.14,369
Peril,Bob Woodward,2021,4.09,512
A Place For Everything: The Curious History of Alphabetical Order,Judith Flanders,2020,3.47,412
Rage,Bob Woodward,2020,4.17,475
Once Upon a Time in Hollywood,Quentin Tarantino,2021,3.87,400
The Paper Palace,Miranda Cowley Heller,2021,3.78,400
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2017,4.39,389
The Unexpected Truth About Animals: A Menagerie of the Misunderstood,Lucy Cooke,2017,4.25,400
Stolen Focus: Why You Can't Pay Attention— and How to Think Deeply Again,Johann Hari,2022,4.22,357
How to Prevent the Next Pandemic,Bill  Gates,2022,3.76,304
Subconscious Power: Use Your Inner Mind to Create the Life You've Always Wanted,Kimberly Friedmutter,2019,3.73,288
I Never Thought of It That Way: How to Have Fearlessly Curious Conversations in Dangerously Divided Times,Monica Guzmán,2022,3.87,304
The Sociopath Next Door,Martha Stout,2006,3.77,256
The Missing Cryptoqueen: The Billion Dollar Cryptocurrency Con and the Woman Who Got Away with It,Jamie Bartlett,2022,4.2,320
"The Immortal Game: A History of Chess, or How 32 Carved Pieces on a Board Illuminated Our Understanding of War, Art, Science and the Human Brain",David Shenk,2006,4.01,352
"The Truth About Crypto: A Practical, Easy-to-Understand Guide to Bitcoin, Blockchain, NFTs, and Other Digital Assets",Ric Edelman,2022,3.65,385
An Ugly Truth: Inside Facebook's Battle for Domination,Sheera Frenkel,2021,3.96,352
Arriving Today: From Factory to Front Door-Why Everything Has Changed About How and What We Buy,Christopher Mims,2021,4.02,352
The Art of Happiness in a Troubled World,Dalai Lama XIV,2009,3.71,368
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,2013,3.91,403
"The Circle (The Circle, #1)",Dave Eggers,2013,3.43,493
The Ultimate Sales Machine: Turbocharge Your Business with Relentless Focus on 12 Key Strategies,Chet Holmes,2008,3.97,336
The New Confessions of an Economic Hit Man,John Perkins,2016,3.93,384
Rationality,Steven Pinker,2021,3.84,432
"Together: Why Social Connection Holds the Key to Better Health, Higher Performance, and Greater Happiness",Vivek H. Murthy,2020,4.22,352
Where Men Win Glory: The Odyssey of Pat Tillman,Jon Krakauer,2009,4.09,323
Making a Scene,Constance Wu,2022,3.67,336
Originals: How Non-Conformists Move the World,Adam M. Grant,2016,3.95,326
American Radical: Inside the World of an Undercover Muslim FBI Agent,Tamer Elnoury,2017,4.34,364
Love Thy Neighbor: A Muslim Doctor's Struggle for Home in Rural America,Ayaz Virji,2019,4.14,208
The Big Short: Inside the Doomsday Machine,Michael   Lewis,2015,4.3,291
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2004,4.16,372
Getting Things Done: The Art of Stress-Free Productivity,David    Allen,2002,4,267
Keep Sharp: Build a Better Brain at Any Age,Sanjay Gupta,2020,4.08,336
Lies & the Lying Liars Who Tell Them: A Fair & Balanced Look at the Right,Al Franken,2004,3.82,421
Unwinding Anxiety,Judson Brewer,2021,3.88,287
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,2007,3.66,349
Cultish: The Language of Fanaticism,Amanda Montell,2021,3.8,309
"Endurance: A Year in Space, A Lifetime of Discovery",Scott    Kelly,2017,4.21,400
Klara and the Sun,Kazuo Ishiguro,2021,3.74,303
The Magic of Thinking Big,David J. Schwartz,1987,4.26,238
The Second Mountain,David  Brooks,2019,3.76,384
"Al Franken, Giant of the Senate",Al Franken,2017,4.22,405
Winners Take All: The Elite Charade of Changing the World,Anand Giridharadas,2018,4.13,288
What Are We Doing Here?,Marilynne Robinson,2018,3.83,336
"Loonshots: How to Nurture the Crazy Ideas That Win Wars, Cure Diseases, and Transform Industries",Safi Bahcall,2019,4,368
Deep Thinking: Where Machine Intelligence Ends and Human Creativity Begins,Garry Kasparov,2017,3.88,0
The Divide: American Injustice in the Age of the Wealth Gap,Matt Taibbi,2014,4.21,416
Where the Crawdads Sing,Delia Owens,2018,4.37,384
Fear: Trump in the White House,Bob Woodward,2018,3.87,448
How to Change Your Mind: The New Science of Psychedelics,Michael Pollan,2018,4.27,480
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,2014,4.21,368
Kill Switch: The Rise of the Modern Senate and the Crippling of American Democracy,Adam Jentleson,2021,4.24,352
How to be Heard: Secrets for Powerful Speaking and Listening (Communication Skills Book),Julian Treasure,2017,3.65,308
Flash Boys: A Wall Street Revolt,Michael   Lewis,2015,4.14,304
Calling Bullshit: The Art of Skepticism in a Data-Driven World,Carl T. Bergstrom,2020,4.1,336
American Made: What Happens to People When Work Disappears,Farah Stockman,2021,4.31,418
The Residence: Inside the Private World of the White House,Kate Andersen Brower,2015,3.81,281
Reclaiming Conversation: The Power of Talk in a Digital Age,Sherry Turkle,2015,3.8,448
From the Ground Up: A Journey to Reimagine the Promise of America,Howard Schultz,2019,3.74,345
When Women Invented Television: The Untold Story of the Female Powerhouses Who Pioneered the Way We Watch Today – A Trailblazing Media History,Jennifer Keishin Armstrong,2021,3.94,352
Something Deeply Hidden: Quantum Worlds and the Emergence of Spacetime,Sean Carroll,2019,4.08,347
Sisters in Hate: American Women on the Front Lines of White Nationalism,Seyward Darby,2020,4.18,11
Them: Why We Hate Each Other - and How to Heal,Ben Sasse,2018,4.17,288
The Best of Second City: Vol. 3 (Library Edition Audio CDs),The Second City,2008,3.17,0
White American Youth: My Descent into America's Most Violent Hate Movement—and How I Got Out,Christian Picciolini,2017,3.98,304
Secrets of Sand Hill Road: Venture Capital and How to Get It,Scott Kupor,2019,4.23,320
In Pieces,Sally Field,2018,3.95,404
"An Ordinary Age: Finding Your Way in a World That Expects Exceptional – Young Adults, Social Media, Mental Health, and Connection",Rainesford Stauffer,2021,3.74,288
The Best of Second City: Vol. 2 (Library Edition Audio CDs),The Second City,2008,3.52,0
The Best of Second City: Vol. 1 (L.A. Theatre Works Audio Theatre Collections),The Second City,2008,3.49,0
Revelations in Air: A Guidebook to Smell,Jude Stewart,2021,3.84,320
How to Decide: Simple Tools for Making Better Choices,Annie Duke,2020,3.96,240
"A Return to Love: Reflections on the Principles of ""A Course in Miracles""",Marianne Williamson,1996,4.25,300
Persuasive Selling and Power Negotiation: Develop Unstoppable Sales Skills and Close ANY Deal,Made for Success,2010,3.65,0
"Outer Order, Inner Calm: Declutter & Organize to Make More Room for Happiness",Gretchen Rubin,2019,3.55,208
On Fire: The Case for the Green New Deal,Naomi Klein,2019,4.17,11
"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Lindsay C. Gibson,2015,4.35,201
Getting to Neutral: How to Conquer Negativity and Thrive in a Chaotic World,Trevor Moawad,2022,3.93,238
The Bright Ages: A New History of Medieval Europe,Matthew Gabriele,2021,3.65,307
Grit: The Power of Passion and Perseverance,Angela Duckworth,2016,4.08,277
The Ones We've Been Waiting for: How a New Generation of Leaders Will Transform America,Charlotte Alter,2020,4.2,368
Self-Compassion: The Proven Power of Being Kind to Yourself,Kristin Neff,2011,4.13,320
She Said: Breaking the Sexual Harassment Story That Helped Ignite a Movement,Jodi Kantor,2019,4.34,310
"Machiavelli For Women: Defend Your Worth, Grow Your Ambition, and Win the Workplace",Stacey Vanek Smith,2021,4.03,224
"One Nation After Trump: A Guide for the Perplexed, the Disillusioned, the Desperate, and the Not-Yet Deported",E.J. Dionne Jr.,2017,3.84,0
"Beautiful World, Where Are You",Sally Rooney,2021,3.52,356
"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",Nicole LePera,2021,4.13,320
The Lords of Easy Money: How the Federal Reserve Broke the American Economy,Christopher Leonard,2022,4.32,
The Deficit Myth: Modern Monetary Theory and the Birth of the People's Economy,Stephanie Kelton,2020,4.02,327
Reclaiming Her Time: The Power of Maxine Waters,Helena Andrews-Dyer,2020,4.02,240
Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,Melody Beattie,1992,4.12,276
Beginners: The Joy and Transformative Power of Lifelong Learning,Tom Vanderbilt,2021,3.67,320
"Open: An Uncensored Memoir of Love, Liberation, and Non-Monogamy",Rachel  Krantz,2022,3.92,352
The Star Builders: Nuclear Fusion and the Race to Power the Planet,Arthur Turrell,2021,3.95,272
Marry Him: The Case for Settling for Mr. Good Enough,Lori Gottlieb,2010,3.61,336
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,2020,4.38,244
"How to Host a Viking Funeral: The Case for Burning Your Regrets, Chasing Your Crazy Ideas, and Becoming the Person You're Meant to Be – A Viral and Inspiring Story of Hope and Redemption",Kyle Scheele,2022,3.98,320
21 Lessons: What I've Learned from Falling Down the Bitcoin Rabbit Hole,Gigi,2020,4,157
Immune: a Journey into the Mysterious System that Keeps You Alive,Philipp Dettmer,2021,4.58,341
Vanderbilt: The Rise and Fall of an American Dynasty,Anderson Cooper,2021,3.8,317
The Innovation Delusion: How Our Obsession with the New Has Disrupted the Work That Matters Most,Lee Vinsel,2020,3.69,288
Once More We Saw Stars: A Memoir,Jayson Greene,2019,4.17,245
Foreverland: On the Divine Tedium of Marriage,Heather Havrilesky,2022,3.62,304
Wintering: The Power of Rest and Retreat in Difficult Times,Katherine May,2020,3.8,256
The Power of Regret: How Looking Backward Moves Us Forward,Daniel H. Pink,2022,3.82,239
The Grapes of Wrath,John Steinbeck,2011,4.03,21
Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,2019,4.24,
Breath: The New Science of a Lost Art,James Nestor,2020,4.14,280
Promise That You Will Sing About Me: The Power and Poetry of Kendrick Lamar,Miles Marshall Lewis,2021,3.68,256
You Can’t Be Serious,Kal Penn,2021,4.2,368
The Age of AI and Our Human Future,Henry Kissinger,2021,3.43,272
My Body,Emily Ratajkowski,2021,3.98,239
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,1998,4.22,356
The Mastery of Destiny,James Allen,2007,4.11,140
As a Man Thinketh,James Allen,2006,4.24,80
"We Came, We Saw, We Left: A Family Gap Year",Charles Wheelan,2021,4.04,288
On Grief and Grieving: Finding the Meaning of Grief Through the Five Stages of Loss,Elisabeth Kübler-Ross,2007,4.32,256
Being You: A New Science of Consciousness,Anil Seth,2020,4.1,352
Matrix,Lauren Groff,2021,3.68,260
We Are Never Meeting in Real Life.,Samantha Irby,2017,3.89,275
Meaty,Samantha Irby,2013,3.88,250
"Wow, No Thank You.: Essays",Samantha Irby,2020,3.81,319
How Stella Learned to Talk: The Groundbreaking Story of the World's First Talking Dog,Christina Hunger,2021,4.41,272
The Storyteller: Tales of Life and Music,Dave Grohl,2021,4.43,384
Extra Life: A Short History of Living Longer,Steven Johnson,2021,4.19,320
The New Right: A Journey to the Fringe of American Politics,Michael Malice,2019,4.24,307
I'll Take Your Questions Now: What I Saw at the Trump White House,Stephanie Grisham,2021,3.5,352
Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life,Richard Carlson,1997,4,248
Joy at Work: Organizing Your Professional Life,Marie Kondō,2020,3.48,244
The Betrayal of Anne Frank: A Cold Case Investigation,Rosemary Sullivan,2022,3.83,400
Stories to Tell: A Memoir,Richard Marx,2021,4.09,320
Dopamine Nation: Finding Balance in the Age of Indulgence,Anna Lembke,2021,3.88,304
The Denial of Death,Ernest Becker,1997,4.05,336
Not Dead Yet: The Memoir,Phil Collins,2016,4.06,371
The Afghanistan Papers: A Secret History of the War,Craig Whitlock,2021,4.25,368
Living with a SEAL: 31 Days Training with the Toughest Man on the Planet,Jesse Itzler,2015,4.28,272
"Sorry I'm Late, I Didn't Want to Come: An Introvert's Year of Living Dangerously",Jessica Pan,2019,3.87,368
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,2012,4.07,333
"Red Roulette: An Insider's Story of Wealth, Power, Corruption, and Vengeance in Today's China",Desmond Shum,2021,3.91,
"Count Down: How Our Modern World Is Threatening Sperm Counts, Altering Male and Female Reproductive Development, and Imperiling the Future of the Human Race",Shanna H. Swan,2021,4.05,304
The Stranger in the Lifeboat,Mitch Albom,2021,4.11,271
"The Four: The Hidden DNA of Amazon, Apple, Facebook, and Google",Scott Galloway,2017,3.83,320
Twelve and a Half: Leveraging the Emotional Ingredients Necessary for Business Success,Gary Vaynerchuk,2021,3.79,202
"The Gap and The Gain: The High Achievers' Guide to Happiness, Confidence, and Success",Dan  Sullivan,2021,4.23,244
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,2021,4.17,245
Leadership Wisdom from the Monk Who Sold His Ferrari: The 8 Rituals of Visionary Leaders,Robin Sharma,2003,4.06,263
"Love People, Use Things: Because the Opposite Never Works",Joshua Fields Millburn,2021,3.77,336
Feminism Is for Everybody: Passionate Politics,bell hooks,2000,4.16,123
Into the Magic Shop: A Neurosurgeon's Quest to Discover the Mysteries of the Brain and the Secrets of the Heart,James R. Doty,2016,4.23,288
The Montessori Toddler: A Parent's Guide to Raising a Curious and Responsible Human Being,Simone Davies,2018,4.28,245
Hunting Charles Manson: The Quest for Justice in the Days of Helter Skelter,Lis Wiehl,2018,3.62,336
The Quiet Zone: Unraveling the Mystery of a Town Suspended in Silence,Stephen Kurczy,2021,3.5,336
The Big Cheat: How Donald Trump Fleeced America and Enriched Himself and His Family,David Cay Johnston,2021,4.23,304
Seek You: A Journey Through American Loneliness (Pantheon Graphic Library),Kristen Radtke,2021,3.99,352
Laziness Does Not Exist,Devon  Price,2021,3.9,256
The Secret History of Food: Strange but True Stories About the Origins of Everything We Eat,Matt Siegel,2021,3.61,288
Mating in Captivity: Reconciling the Erotic and the Domestic,Esther Perel,2006,4.17,220
Calm the F*ck Down: How to Control What You Can and Accept What You Can't So You Can Stop Freaking Out and Get On With Your Life (A No F*cks Given Guide),Sarah Knight,2018,3.41,304
What Has Government Done to Our Money? and The Case for a 100 Percent Gold Dollar,Murray N. Rothbard,2005,4.27,191
The Dumb Money: The GameStop Short Squeeze and the Ragtag Group of Amateur Traders That Brought Wall Street to Its Knees (Previously Published as The Antisocial Network),Ben Mezrich,2021,3.61,305
Authenticity: A Guide to Living in Harmony with Your True Self,David Posen,2018,3.55,288
"House of Trump, House of Putin: The Untold Story of Donald Trump and the Russian Mafia",Craig Unger,2018,4.02,382
"What Happened To You?: Conversations on Trauma, Resilience, and Healing",Bruce D. Perry,2021,4.41,304
The Art of Dying Well: A Practical Guide to a Good End of Life,Katy Butler,2019,4.29,288
Lives of the Stoics: The Art of Living from Zeno to Marcus Aurelius,Ryan Holiday,2020,4.03,352
Life After Google: The Fall of Big Data and the Rise of the Blockchain Economy,George Gilder,2018,3.54,256
The Right to Sex: Feminism in the Twenty-First Century,Amia Srinivasan,2021,4.24,241
"Maid: Hard Work, Low Pay, and a Mother's Will to Survive",Stephanie  Land,2019,3.86,289
This Is Your Mind on Plants,Michael Pollan,2021,3.87,288
"Once Upon a Time in Russia: The Rise of the Oligarchs―A True Story of Ambition, Wealth, Betrayal, and Murder",Ben Mezrich,2015,3.86,288
Simply Brilliant: How Great Organizations Do Ordinary Things in Extraordinary Ways,William C. Taylor,2016,3.78,272
"How Rights Went Wrong: Why Our Obsession with Rights Is Tearing America Apart – A Renowned Legal Scholar's Paradigm-Shifting Analysis of Race, Law, and Justice",Jamal Greene,2021,4.08,368
Willpower Doesn't Work: Discover the Hidden Keys to Success,Benjamin P. Hardy,2018,3.99,256
"Nine Nasty Words: English in the Gutter — Then, Now, and Forever",John McWhorter,2021,3.94,286
The Curious Incident of the Dog in the Night-Time,Mark Haddon,2004,3.89,226
Strongmen: Mussolini to the Present,Ruth Ben-Ghiat,2020,4.27,384
How to Not Die Alone: The Surprising Science That Will Help You Find Love,Logan Ury,2021,3.97,352
"The Folly and the Glory: America, Russia, and Political Warfare 1945–2020",Tim Weiner,2020,4.07,326
Golden State,Ben H. Winters,2019,3.47,323
Argo: How the CIA & Hollywood Pulled Off the Most Audacious Rescue in History,Antonio J. Méndez,2012,3.87,310
A World Without Email: Reimagining Work in an Age of Communication Overload,Cal Newport,2021,3.88,320
The Book You Wish Your Parents Had Read [and Your Children Will Be Glad That You Did],Philippa Perry,2020,4.1,240
"Stop Self-Sabotage: Six Steps to Unlock Your True Motivation, Harness Your Willpower, and Get Out of Your Own Way",Judy Ho,2019,3.8,8
Golden Gates: Fighting for Housing in America,Conor Dougherty,2020,4.07,288
Wanting: The Power of Mimetic Desire in Everyday Life,Luke Burgis,2021,3.79,304
The Culture Map: Breaking Through the Invisible Boundaries of Global Business,Erin Meyer,2014,4.33,274
A Room of One’s Own,Virginia Woolf,2000,4.22,112
Clean: The New Science of Skin,James Hamblin,2020,3.89,280
Everything in Its Place: First Loves and Last Tales,Oliver Sacks,2019,4.14,288
Ultralearning: The Essential Guide To Mastering Hard Skills And Future-Proofing Your Career,Scott H. Young,2019,3.95,305
Getting the Love You Want: A Guide for Couples,Harville Hendrix,2005,4.05,336
Boomerang: Travels in the New Third World,Michael   Lewis,2012,3.9,218
Subtract: The Untapped Science of Less,Leidy Klotz,2021,3.4,304
The Art of Invisibility: The World's Most Famous Hacker Teaches You How to Be Safe in the Age of Big Brother and Big Data,Kevin D. Mitnick,2017,3.98,320
"How Music Got Free: The End of an Industry, the Turn of the Century, and the Patient Zero of Piracy",Stephen Richard Witt,2015,4.24,296
Girls & Sex: Navigating the Complicated New Landscape,Peggy Orenstein,2016,4.07,303
"Boys & Sex: Young Men on Hookups, Love, Porn, Consent, and Navigating the New Masculinity",Peggy Orenstein,2020,4.23,293
Under a White Sky: The Nature of the Future,Elizabeth Kolbert,2021,4.1,234
My Life on the Road,Gloria Steinem,2015,4.07,276
"Not for the Faint of Heart: Lessons in Courage, Power, and Persistence",Wendy R. Sherman,2018,3.94,256
Stuff You Should Know: An Incomplete Compendium of Mostly Interesting Things,Josh      Clark,2020,3.93,297
English in America: A Linguistic History,Natalie Schilling,2016,3.73,6
Four Lost Cities: A Secret History of the Urban Age,Annalee Newitz,2021,3.78,320
Do I Make Myself Clear? Why Writing Well Matters,Harold Evans,2017,3.64,416
Have You Eaten Grandma?,Gyles Brandreth,2018,3.93,256
Thanks for Waiting: The Joy (and Weirdness) of Being a Late Bloomer,Doree  Shafrir,2021,3.64,304
The Ugly Cry,Danielle Henderson,2021,4.25,290
Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,2005,4.01,240
The Practice: Shipping Creative Work,Seth Godin,2020,3.96,261
"A Beautifully Foolish Endeavor (The Carls, #2)",Hank Green,2020,4.23,452
"Semicolon: The Past, Present, and Future of a Misunderstood Mark",Cecelia Watson,2019,3.68,213
"Put Your Heart On The Page: An Introduction To Writing (How To.., 1)",Anne Perry,2014,3.82,0
"An Absolutely Remarkable Thing (The Carls, #1)",Hank Green,2018,4.03,343
Sex on the Moon: The Amazing Story Behind the Most Audacious Heist in History,Ben Mezrich,2011,3.4,320
"Digital Body Language: How to Build Trust and Connection, No Matter the Distance",Erica Dhawan,2021,3.71,288
"The Only Negotiating Guide You'll Ever Need, Revised and Updated: 101 Ways to Win Every Time in Any Situation",Peter B. Stark,2017,3.65,290
The Monk and the Riddle: The Education of a Silicon Valley Entrepreneur,Randy Komisar,2000,3.87,192
"The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal",Ben Mezrich,2009,3.59,255
"Humor, Seriously: Why Humor Is a Secret Weapon in Business and Life (And how anyone can harness it. Even you.)",Jennifer Aaker,2021,3.83,272
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,2021,4.02,256
Full Disclosure,Stormy Daniels,2018,3.58,8
Rejection Proof: How I Beat Fear and Became Invincible Through 100 Days of Rejection,Jia Jiang,2015,4.04,256
How to Meditate: A Practical Guide to Making Friends with Your Mind,Pema Chödrön,2007,4.19,345
"Blockchain, Bitcoin and Crypto Revolution: How To Invest For Beginners: Complete Explanation of Blockchain Technology and Basics Guide For How to Invest in Crypto",Sweet Smart Books,2021,3.27,150
All You Have to Do Is Ask: How to Master the Most Important Skill for Success,Wayne E. Baker,2020,3.55,240
Drift,Rachel Maddow,2012,4.07,288
The View From Flyover Country: Essays by Sarah Kendzior,Sarah Kendzior,2015,4.1,165
"A Call to Action: Women, Religion, Violence, and Power",Jimmy Carter,2014,4.04,211
A Thousand Miles to Freedom: My Escape from North Korea,Eunsun Kim,2015,3.97,228
The More of Less: Finding the Life You Want Under Everything You Own,Joshua Becker,2016,3.81,240
The Wrecking Crew: The Inside Story of Rock and Roll's Best-Kept Secret,Kent Hartman,2012,4.07,292
Yearbook,Seth Rogen,2021,4.15,260
Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,2018,3.95,336
The Road to Character,David  Brooks,2015,3.65,320
Tenth of December,George Saunders,2013,3.98,251
Lifespan: Why We Age―and Why We Don't Have To,David A. Sinclair,2019,4.12,432
My Stroke of Insight: A Brain Scientist's Personal Journey,Jill Bolte Taylor,2006,3.92,181
All the Missing Girls,Megan Miranda,2016,3.7,396
Everybody Has a Podcast (Except You): A How-to Guide from the First Family of Podcasting – The Essential Comedy Guide to Producing and Growing Hit Shows,Justin McElroy,2021,4.18,272
The Return of Depression Economics and the Crisis of 2008,Paul Krugman,2008,3.83,224
Dedicated: The Case for Commitment in an Age of Infinite Browsing,Pete      Davis,2021,3.78,272
On Earth We're Briefly Gorgeous,Ocean Vuong,2019,4,246
What I Talk About When I Talk About Running,Haruki Murakami,2008,3.87,188
The Power of Zero: How to Get to the 0% Tax Bracket and Transform Your Retirement,David McKnight,2014,3.81,110
The New Great Depression: Winners and Losers in a Post-Pandemic World,James Rickards,2021,3.52,208
Utopia for Realists: How We Can Build the Ideal World,Rutger Bregman,2017,4.21,262
Inventing Bitcoin: The Technology Behind The First Truly Scarce and Decentralized Money Explained,Yan Pritzker,2019,4.4,112
But What If We're Wrong? Thinking About the Present As If It Were the Past,Chuck Klosterman,2016,3.66,262
"Gmorning, Gnight!: Little Pep Talks for Me & You",Lin-Manuel Miranda,2018,4.26,224
World Travel: An Irreverent Guide,Anthony Bourdain,2021,3.63,480
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,2012,4.15,354
"Eastern Body, Western Mind: Psychology and the Chakra System as a Path to the Self",Anodea Judith,2004,4.34,488
It's OK That You're Not OK,Megan Devine,2017,4.35,0
Insane Clown President: Dispatches from the 2016 Circus,Matt Taibbi,2017,4.05,352
As I Lay Dying,William Faulkner,1991,3.72,288
Hiding in Plain Sight: The Invention of Donald Trump and the Erosion of America,Sarah Kendzior,2020,4.43,320
Men Without Women,Haruki Murakami,2017,3.74,242
Crowdsourcing: Why the Power of the Crowd Is Driving the Future of Business,Jeff   Howe,2008,3.84,320
"They Both Die at the End (They Both Die at the End, #1)",Adam Silvera,2017,3.75,389
Signs: The Secret Language of the Universe,Laura Lynne Jackson,2019,4.16,288
On Power: My Journey Through the Corridors of Power and How You Can Get More Power,Gene Simmons,2017,3.69,160
Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,2016,4.34,274
My Beloved World,Sonia Sotomayor,2013,4.09,302
The Undocumented Americans,Karla Cornejo Villavicencio,2020,4.37,208
Let's Talk About Hard Things (A Guide for Difficult Conversations),Anna Sale,2021,3.65,304
Reality is Not What it Seems,Carlo Rovelli,2016,4.33,256
Crying in H Mart,Michelle Zauner,2021,4.23,256
Bunker: Building for the End Times,Bradley L. Garrett,2020,3.84,1
Rachel Maddow: A Biography,Lisa Rogak,2020,3.99,272
This Fight Is Our Fight: The Battle to Save America's Middle Class,Elizabeth Warren,2017,4.19,352
"Kushner, Inc.: Greed. Ambition. Corruption. The Extraordinary Story of Jared Kushner and Ivanka Trump",Vicky Ward,2019,3.53,304
"Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics (Politics of Place, #1)",Tim  Marshall,2015,4.19,256
Awakening Your Ikigai: How the Japanese Wake Up to Joy and Purpose Every Day,Ken Mogi,2018,3.57,224
Why We're Polarized,Ezra Klein,2020,4.21,336
The Tao of Pooh,Benjamin Hoff,2003,4.01,176
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,William H. McRaven,2017,4.01,2
Aftermath,Rickards James,2019,4.09,336
Fascism: A Warning,Madeleine K. Albright,2018,4.25,320
"Guided Meditation: Six Essential Practices to Cultivate Love, Awareness, and Wisdom",Jack Kornfield,2007,4.22,2
The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,2018,4.06,304
"Our History Is the Future: Standing Rock Versus the Dakota Access Pipeline, and the Long Tradition of Indigenous Resistance",Nick Estes,2019,4.43,320
A Year of Miracles: Daily Devotions and Reflections,Marianne Williamson,2013,4.39,384
Let the People Pick the President: The Case for Abolishing the Electoral College,Jesse Wegman,2020,4.26,304
O's Little Guide to Finding Your True Purpose,"O, The Oprah Magazine",2015,3.5,189
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,2020,4.27,464
One Flew Over the Cuckoo’s Nest,Ken Kesey,1963,4.2,325
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,2020,4.32,352
